Displacement:2	Points:0
1.35E-15	0
1.12E-11	0.008
2.33E-11	0.016
3.64E-11	0.024
5.04E-11	0.032
6.53E-11	0.04
8.12E-11	0.048
9.81E-11	0.056
1.16E-10	0.064
1.35E-10	0.072
1.54E-10	0.08
1.75E-10	0.088
1.97E-10	0.096
2.19E-10	0.104
2.43E-10	0.112
2.67E-10	0.12
2.92E-10	0.128
3.19E-10	0.136
3.46E-10	0.144
3.74E-10	0.152
4.03E-10	0.16
4.34E-10	0.168
4.65E-10	0.176
4.97E-10	0.184
5.30E-10	0.192
5.64E-10	0.2
5.98E-10	0.208
6.34E-10	0.216
6.71E-10	0.224
7.09E-10	0.232
7.47E-10	0.24
7.87E-10	0.248
8.27E-10	0.256
8.69E-10	0.264
9.11E-10	0.272
9.55E-10	0.28
9.99E-10	0.288
1.04E-09	0.296
1.09E-09	0.304
1.14E-09	0.312
1.19E-09	0.32
1.24E-09	0.328
1.29E-09	0.336
1.34E-09	0.344
1.39E-09	0.352
1.44E-09	0.36
1.49E-09	0.368
1.55E-09	0.376
1.61E-09	0.384
1.66E-09	0.392
1.72E-09	0.4
1.78E-09	0.408
1.84E-09	0.416
1.90E-09	0.424
1.96E-09	0.432
2.02E-09	0.44
2.08E-09	0.448
2.15E-09	0.456
2.21E-09	0.464
2.28E-09	0.472
2.35E-09	0.48
2.42E-09	0.488
2.48E-09	0.496
2.55E-09	0.504
2.63E-09	0.512
2.70E-09	0.52
2.77E-09	0.528
2.84E-09	0.536
2.92E-09	0.544
2.99E-09	0.552
3.07E-09	0.56
3.15E-09	0.568
3.23E-09	0.576
3.31E-09	0.584
3.39E-09	0.592
3.47E-09	0.6
3.55E-09	0.608
3.63E-09	0.616
3.72E-09	0.624
3.80E-09	0.632
3.89E-09	0.64
3.98E-09	0.648
4.06E-09	0.656
4.15E-09	0.664
4.24E-09	0.672
4.33E-09	0.68
4.42E-09	0.688
4.52E-09	0.696
4.61E-09	0.704
4.70E-09	0.712
4.80E-09	0.72
4.90E-09	0.728
5.00E-09	0.736
5.10E-09	0.744
5.20E-09	0.752
5.31E-09	0.76
5.41E-09	0.768
5.52E-09	0.776
5.62E-09	0.784
5.73E-09	0.792
5.84E-09	0.8
5.95E-09	0.808
6.06E-09	0.816
6.17E-09	0.824
6.28E-09	0.832
6.39E-09	0.84
6.50E-09	0.848
6.62E-09	0.856
6.73E-09	0.864
6.85E-09	0.872
6.97E-09	0.88
7.08E-09	0.888
7.20E-09	0.896
7.32E-09	0.904
7.44E-09	0.912
7.56E-09	0.92
7.68E-09	0.928
7.81E-09	0.936
7.93E-09	0.944
8.06E-09	0.952
8.18E-09	0.96
8.31E-09	0.968
8.44E-09	0.976
8.56E-09	0.984
8.69E-09	0.992
8.82E-09	1
8.95E-09	1.008
9.08E-09	1.016
